categoria,cantico_id,club_id,equipo_mencionado_fuente,titulo_referencia,fuente,url,posible_similar_a,observacion_revision
similitud,CAN0309,CLU012,Deportes Tolima,Queremos la Copa,FanChants,https://www.fanchants.com/es/football-songs/deportes-tolima-chants/2-100/,CAN0286,"Similitud alta conservada: CAN0286 (secuencia=0.906, vocabulario=0.844, longitud=1.000)"
similitud,CAN0311,CLU012,Deportes Tolima,Soy del Vinotinto y Oro,FanChants,https://www.fanchants.com/es/football-songs/deportes-tolima-chants/im-made-of-red-wine/,CAN0290,"Similitud alta conservada: CAN0290 (secuencia=0.974, vocabulario=0.971, longitud=1.000)"
similitud,CAN0317,CLU014,Independiente Santa Fe,Albi Rojo soy,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/albi-rojo-soy/,CAN0409,"Duplicado exacto también localizado en Barrabrava.net: https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/albirojo-soy/; Similitud alta conservada: CAN0409 (secuencia=0.978, vocabulario=0.941, longitud=0.957)"
similitud,CAN0320,CLU014,Independiente Santa Fe,Cada dia te quiero mas,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/cada-dia-te-quiero-mas/,CAN0406,"Similitud alta conservada: CAN0406 (secuencia=0.920, vocabulario=0.810, longitud=1.000)"
similitud,CAN0327,CLU014,Independiente Santa Fe,Dicen que estamos locos de la cabeza,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/dicen-que-estamos-locos-de-la-cabeza/,CAN0419,"Similitud alta conservada: CAN0419 (secuencia=0.963, vocabulario=0.900, longitud=0.976)"
similitud,CAN0333,CLU014,Independiente Santa Fe,El Rojo Es La Locura,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/el-rojo-es-la-locura/,CAN0417,"Similitud alta conservada: CAN0417 (secuencia=0.915, vocabulario=0.944, longitud=1.000)"
similitud,CAN0336,CLU014,Independiente Santa Fe,Eres una enfermedad de la que no quiero curarme,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/eres-una-enfermedad-de-la-que-no-quiero-curarme/,CAN0352,"Similitud alta conservada: CAN0352 (secuencia=0.937, vocabulario=0.745, longitud=0.994)"
similitud,CAN0338,CLU014,Independiente Santa Fe,Esta es la banda loca descontrolada,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/esta-es-la-banda-loca-descontrolada/,CAN0416,"Similitud alta conservada: CAN0416 (secuencia=0.986, vocabulario=0.963, longitud=0.973)"
similitud,CAN0342,CLU014,Independiente Santa Fe,Hay una cosa que solo le pido a dios,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/hay-una-cosa-que-solo-le-pido-a-dios/,CAN0358,"Similitud alta conservada: CAN0358 (secuencia=0.976, vocabulario=0.946, longitud=1.000)"
similitud,CAN0349,CLU014,Independiente Santa Fe,Las gayinas son asi,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/las-gayinas-son-asi/,CAN0404,"Similitud alta conservada: CAN0404 (secuencia=0.967, vocabulario=0.926, longitud=1.000)"
similitud,CAN0351,CLU014,Independiente Santa Fe,Llenamos la popular y nos mandamos en avalancha,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/llenamos-la-popular-y-nos-mandamos-en-avalancha/,CAN0353,"Similitud alta conservada: CAN0353 (secuencia=0.853, vocabulario=0.800, longitud=0.986)"
similitud,CAN0352,CLU014,Independiente Santa Fe,Loquito por ti,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/loquito-por-ti/,CAN0336,"Similitud alta conservada: CAN0336 (secuencia=0.937, vocabulario=0.745, longitud=0.994)"
similitud,CAN0353,CLU014,Independiente Santa Fe,Los domingos despues de almorzar,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/los-domingos-despues-de-almorzar/,CAN0351,"Similitud alta conservada: CAN0351 (secuencia=0.853, vocabulario=0.800, longitud=0.986)"
similitud,CAN0358,CLU014,Independiente Santa Fe,Muchas veces fui preso por Santa fe,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/muchas-veces-fui-preso-por-santa-fe/,CAN0342,"Duplicado exacto también localizado en Barrabrava.net: https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/tambien-llore/; Similitud alta conservada: CAN0342 (secuencia=0.976, vocabulario=0.946, longitud=1.000)"
similitud,CAN0359,CLU014,Independiente Santa Fe,Ni la muerte nos va separar,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/ni-la-muerte-nos-va-separar/,CAN0392,"Similitud alta conservada: CAN0392 (secuencia=0.843, vocabulario=0.925, longitud=0.889)"
similitud,CAN0363,CLU014,Independiente Santa Fe,Pediré la luna yo te la dare,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/pedire-la-luna-yo-te-la-dare/,CAN0425,"Similitud alta conservada: CAN0425 (secuencia=0.984, vocabulario=0.955, longitud=0.969)"
similitud,CAN0365,CLU014,Independiente Santa Fe,Por qué será,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/por-que-sera/,CAN0426,"Similitud alta conservada: CAN0426 (secuencia=0.974, vocabulario=0.966, longitud=0.950)"
similitud,CAN0367,CLU014,Independiente Santa Fe,Porque Santa Fe es toda mi vida entera,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/porque-santa-fe-es-toda-mi-vida-entera/,CAN0387,"Similitud alta conservada: CAN0387 (secuencia=0.984, vocabulario=0.966, longitud=1.000)"
similitud,CAN0377,CLU014,Independiente Santa Fe,Ser albirrojo es un honor una pasión,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/ser-albirrojo-es-un-honor-una-pasion/,CAN0436,"Similitud alta conservada: CAN0436 (secuencia=0.993, vocabulario=0.978, longitud=0.986)"
similitud,CAN0379,CLU014,Independiente Santa Fe,Señores soy del león del expreso bogotano,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/senores-soy-del-leon-del-expreso-bogotano/,CAN0431,"Similitud alta conservada: CAN0431 (secuencia=0.943, vocabulario=0.927, longitud=1.000)"
similitud,CAN0380,CLU014,Independiente Santa Fe,Señores yo dejo todo,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/senores-yo-dejo-todo/,CAN0418,"Similitud alta conservada: CAN0418 (secuencia=0.955, vocabulario=0.931, longitud=0.971)"
similitud,CAN0387,CLU014,Independiente Santa Fe,Soy Adicto al Leon,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/soy-adicto-al-leon/,CAN0367,"Similitud alta conservada: CAN0367 (secuencia=0.984, vocabulario=0.966, longitud=1.000)"
similitud,CAN0391,CLU014,Independiente Santa Fe,"También lloré, y muchas veces fui preso por Santa Fe",Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/tambien-llore-y-muchas-veces-fui-preso-por-santa-fe/,CAN0414,"Similitud alta conservada: CAN0414 (secuencia=0.867, vocabulario=0.970, longitud=0.989)"
similitud,CAN0392,CLU014,Independiente Santa Fe,Te llevamos en el corazon,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/te-llevamos-en-el-corazon/,CAN0359,"Similitud alta conservada: CAN0359 (secuencia=0.843, vocabulario=0.925, longitud=0.889)"
similitud,CAN0394,CLU014,Independiente Santa Fe,Todos los domingos llega al Nemesio,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/todos-los-domingos-llega-al-nemesio/,CAN0433,"Similitud alta conservada: CAN0433 (secuencia=0.979, vocabulario=0.984, longitud=1.000)"
similitud,CAN0404,CLU014,Independiente Santa Fe,Yo soy del rojo señor,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/yo-soy-del-rojo-senor/,CAN0349,"Similitud alta conservada: CAN0349 (secuencia=0.967, vocabulario=0.926, longitud=1.000)"
similitud,CAN0406,CLU014,Independiente Santa Fe,Yo te amo,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/yo-te-amo/,CAN0320,"Similitud alta conservada: CAN0320 (secuencia=0.920, vocabulario=0.810, longitud=1.000)"
similitud,CAN0408,CLU014,Independiente Santa Fe,"¡Vamos Rojo, vamos!",Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/vamos-rojo-vamos/,CAN0439,"Similitud alta conservada: CAN0439 (secuencia=0.971, vocabulario=0.903, longitud=0.981)"
similitud,CAN0409,CLU014,Independiente Santa Fe,Albirojo Soy con la Guardia a Todos Lados Voy,FanChants,https://www.fanchants.com/es/football-songs/club-santa-fe-chants/santa-fe-chant-4/,CAN0317,"Similitud alta conservada: CAN0317 (secuencia=0.978, vocabulario=0.941, longitud=0.957)"
similitud,CAN0414,CLU014,Independiente Santa Fe,Hasta el Cajón,FanChants,https://www.fanchants.com/es/football-songs/club-santa-fe-chants/santa-fe-chant-7/,CAN0391,"Similitud alta conservada: CAN0391 (secuencia=0.867, vocabulario=0.970, longitud=0.989)"
similitud,CAN0416,CLU014,Independiente Santa Fe,La Banda Loca Descontrolada,FanChants,https://www.fanchants.com/es/football-songs/club-santa-fe-chants/this-is-the-crazy-gang/,CAN0338,"Similitud alta conservada: CAN0338 (secuencia=0.986, vocabulario=0.963, longitud=0.973)"
similitud,CAN0417,CLU014,Independiente Santa Fe,La Gloria No Se Fue de Santa Fe,FanChants,https://www.fanchants.com/es/football-songs/club-santa-fe-chants/heart-20/,CAN0333,"Similitud alta conservada: CAN0333 (secuencia=0.915, vocabulario=0.944, longitud=1.000)"
similitud,CAN0418,CLU014,Independiente Santa Fe,Me Voy a Ver al Rojo,FanChants,https://www.fanchants.com/es/football-songs/club-santa-fe-chants/can-we-leave-champions/,CAN0380,"Similitud alta conservada: CAN0380 (secuencia=0.955, vocabulario=0.931, longitud=0.971)"
similitud,CAN0419,CLU014,Independiente Santa Fe,Oh Santa Fe,FanChants,https://www.fanchants.com/es/football-songs/club-santa-fe-chants/oh-santa-fe/,CAN0327,"Similitud alta conservada: CAN0327 (secuencia=0.963, vocabulario=0.900, longitud=0.976)"
similitud,CAN0425,CLU014,Independiente Santa Fe,Pideme la Luna v2,FanChants,https://www.fanchants.com/es/football-songs/club-santa-fe-chants/santa-fe-chant-10/,CAN0363,"Similitud alta conservada: CAN0363 (secuencia=0.984, vocabulario=0.955, longitud=0.969)"
similitud,CAN0426,CLU014,Independiente Santa Fe,Por Qué Será,FanChants,https://www.fanchants.com/es/football-songs/club-santa-fe-chants/passion-9/,CAN0365,"Similitud alta conservada: CAN0365 (secuencia=0.974, vocabulario=0.966, longitud=0.950)"
similitud,CAN0431,CLU014,Independiente Santa Fe,Soy del Rojo el Expreso Bogotano,FanChants,https://www.fanchants.com/es/football-songs/club-santa-fe-chants/santa-fe-chant-2/,CAN0379,"Similitud alta conservada: CAN0379 (secuencia=0.943, vocabulario=0.927, longitud=1.000)"
similitud,CAN0433,CLU014,Independiente Santa Fe,Todo los Domingos Llega al Nemesio,FanChants,https://www.fanchants.com/es/football-songs/club-santa-fe-chants/santa-fe-chant-1/,CAN0394,"Similitud alta conservada: CAN0394 (secuencia=0.979, vocabulario=0.984, longitud=1.000)"
similitud,CAN0436,CLU014,Independiente Santa Fe,¡Vamos Albirrojo!,FanChants,https://www.fanchants.com/es/football-songs/club-santa-fe-chants/come-on-come-on-15/,CAN0377,"Similitud alta conservada: CAN0377 (secuencia=0.993, vocabulario=0.978, longitud=0.986)"
similitud,CAN0439,CLU014,Independiente Santa Fe,"¡Vamos Rojo, Vamos!",FanChants,https://www.fanchants.com/es/football-songs/club-santa-fe-chants/come-on-56/,CAN0408,"Similitud alta conservada: CAN0408 (secuencia=0.971, vocabulario=0.903, longitud=0.981)"
similitud,CAN0465,CLU017,Junior de Barranquilla,El carnaval del Kuervo,Barrabrava.net,https://barrabrava.net/junior-de-barranquilla/la-banda-de-los-kuervos/letra/el-carnaval-del-kuervo/,CAN0482,"Similitud alta conservada: CAN0482 (secuencia=0.922, vocabulario=0.914, longitud=0.905)"
similitud,CAN0482,CLU017,Junior de Barranquilla,Todo el mundo sabe que estamos enfermos,Barrabrava.net,https://barrabrava.net/junior-de-barranquilla/la-banda-de-los-kuervos/letra/todo-el-mundo-sabe-que-estamos-enfermos/,CAN0465,"Similitud alta conservada: CAN0465 (secuencia=0.922, vocabulario=0.914, longitud=0.905)"
similitud,CAN0520,CLU019,Millonarios,Señores yo soy de millos y tengo aguante,Barrabrava.net,https://barrabrava.net/millonarios/blue-rain/letra/senores-yo-soy-de-millos-y-tengo-aguante/,CAN0521,"Similitud alta conservada: CAN0521 (secuencia=0.824, vocabulario=0.853, longitud=0.977)"
similitud,CAN0521,CLU019,Millonarios,Señores yo soy de millos y tengo aguante,Barrabrava.net,https://barrabrava.net/millonarios/comandos-azules/letra/senores-yo-soy-de-millos-y-tengo-aguante/,CAN0520,"Similitud alta conservada: CAN0520 (secuencia=0.824, vocabulario=0.853, longitud=0.977)"
similitud,CAN0560,CLU019,Millonarios FC,Volveremos,FanChants,https://www.fanchants.com/es/football-songs/millonarios-futbol-club-chants/band-mfc/,CAN0561,"Similitud alta conservada: CAN0561 (secuencia=0.929, vocabulario=0.909, longitud=1.000)"
similitud,CAN0561,CLU019,Millonarios FC,Volveremos a la Cancha,FanChants,https://www.fanchants.com/es/football-songs/millonarios-futbol-club-chants/well-come-back-well-come-back-mfc/,CAN0560,"Similitud alta conservada: CAN0560 (secuencia=0.929, vocabulario=0.909, longitud=1.000)"
